WKT,nama,deskripsi
"POINT (110.4262088 -7.875384899999999)",Daerah Istimewa Yogyakarta,
"POLYGON ((110.4221947 -7.8748594, 110.4233964 -7.8763897, 110.4249413 -7.8791104, 110.4218514 -7.8821711, 110.4233964 -7.8838715, 110.4294045 -7.8821711, 110.434211 -7.8826812, 110.4366143 -7.8796205, 110.4312928 -7.8731589, 110.4287179 -7.8716285, 110.424598 -7.8726488, 110.4221947 -7.8748594))",DIY Yogyakarta,
