nama,lon,lat
bandung,107.6085576829388,-6.89860539438159
,108.54213179427512,-7.370926449189341
bekasi,106.98973025980712,-6.2322433240678805
bogor,106.8060791514107,-6.590563088409283
cimahi,107.54377149920072,-6.872974332449246
,108.54611561151813,-6.711102776307655
depok,106.81454720061998,-6.405080779812749
sukabumi,106.93105044480666,-6.904885782997482
tasikmalaya,108.22702213526816,-7.309042827615443
